Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Southdown,ENG,Hunt,DD,1050,8 November 1940,"paid off 1946, scrapped 1956"
Southwold,ENG,Hunt,DD,1050,9 October 1941,sunk 24 March 1942
Speaker,ENG,Ruler,CVE,8333,20 November 1943,"paid off 25 September 1946, scrapped 1972"
Spearfish,ENG,S,SS,670,11 December 1936,sunk 1 August 1940
Spetsai,Hellenic Navy,Kountouriotis,DD,1350,1933,decommissioned 1946
Spikenard,Royal Navy  Royal Canadian Navy,Flower,K,925,6 December 1940,"to Canada 15 May 1941, sunk on 11 February 1942 by U-136"
Spiraea,ENG,Flower,K,925,27 February 1941,Sold to Greece as Thessaloniki. August 1945
Spiteful,ENG,S,SS,814,6 October 1943,scrapped 1963
Splendid,ENG,S,SS,814,8 August 1942,scuttled 21 April 1943
Sportsman,ENG,S,SS,814,21 December 1942,to the French Navy on 8 July 1952
Springbank,ENG,Pegasus,fighter catapult ship,5155,1940,sunk 27 September 1941
Springfield,USA,Cleveland,CL,10160,9 September 1944,"converted to Providence-class guided missile cruiser 1960, decommissioned 1974, scrapped 1980"
Springhill,Royal Canadian Navy,River,FF,1445,21 March 1944,paid off 1 December 1945
Sri Ayudhya,Royal Thai Navy,Thonburi,coastal defence ship,2350,19 July 1938,sunk 1 July 1951
St Albans,Royal Navy  Royal Norwegian Navy  Soviet Navy,Town,DD,1190,23 September 1940,"to Norway 14 April 1941, to USSR 16 July 1944, scrapped 1949"
St. Catharines,Royal Canadian Navy,River,FF,1445,31 July 1943,paid off 14 December 1945
St. Clair,Royal Canadian Navy,Town,DD,1190,24 September 1940,paid off 1946
St. Croix,Royal Canadian Navy,Clemson,DD,1190,24 September 1940,sunk 22 September 1943
St. Francis,Royal Canadian Navy,Clemson,DD,1216,24 September 1940,"paid off 1945, sank under tow July 1945"
St. Kitts,ENG,Battle,DD,2325,21 January 1946[5],"paid off 1957, scrapped February 1962"
St. Lambert,Royal Canadian Navy,Flower modified,K,1015,27 May 1944,20 July 1945
St. Laurent,Royal Canadian Navy,C,DD,1375,17 February 1937,paid off 10 October 1945
St. Lo,USA,Casablanca,CVE,7800,23 October 1943,ex-Midway; lost in action 25 October 1944
St. Louis,USA,St. Louis,CL,10000,19 May 1939,"to Brazil as Tamandare 1951, sunk under tow 1980"
Saint Paul,USA,Baltimore,CA,17200,17 February 1945,"decommissioned 1971, scrapped 1980"
St. Pierre,Royal Canadian Navy,River,FF,1445,28 August 1944,paid off 22 November 1945
St. Stephen,Royal Canadian Navy,River,FF,1445,28 July 1944,paid off 30 January 1946
Stack,USA,Benham,DD,1500,20 November 1939,scuttled after A-bomb test 1948
Stalker,ENG,Attacker,CVE,14400,21 December 1942,"paid off 29 December 1945, sold into merchant service as Riouw"
Starwort,ENG,Flower,K,925,26 May 1941,
Statice,ENG,Flower modified,K,1015,20 September 1943,paid off May 1947
Ste. Therese,Royal Canadian Navy,River,FF,1445,28 May 1944,paid off 30 January 1967
Steamer Bay,USA,Casablanca,CVE,7800,4 April 1944,"decommissioned January 1947, scrapped 1959"
Stellarton,Royal Canadian Navy,Flower modified,K,1015,29 September 1944,1 July 1945
Stembel,USA,Fletcher,DD,2050,16 July 1943,"loaned to Argentina as Rosales 1961, scrapped 1982"
Sterett,USA,Benham,DD,1500,15 August 1939,scrapped 1947
Sterlet,ENG,S,SS,670,6 April 1938,sunk 18 April 1940
Stettler,Royal Canadian Navy,River,FF,1445,7 May 1944,paid off 31 August 1966
Stevenson,USA,Gleaves,DD,1630,15 December 1942,"decommissioned 1946, scrapped 1970"
Stevenstone,ENG,Hunt,DD,1050,18 March 1943,Scrapped in 1959
Stewart,United States Navy  Imperial Japanese Navy,Clemson,DD,1200,15 September 1920,"scuttled 2 March 1942, raised by IJN and recommissioned September 1943"
Stier,GER,,MC,11000,25 November 1939,sunk 27 September 1942
Stockton,USA,Gleaves,DD,1630,11 January 1943,"decommissioned 1946, scrapped 1973"
Stone Town,Royal Canadian Navy,River,FF,1445,21 July 1944,paid off 13 November 1945
Stonecrop,ENG,Flower,K,925,30 July 1941,sold into merchant service May 1947
Stord,Royal Norwegian Navy,S,DD,2400,29 September 1943,scrapped 1959
Strathadam,Royal Canadian Navy,River,FF,1445,29 September 1944,paid off 7 November 1945
Strathroy,Royal Canadian Navy,Flower modified,K,1015,20 November 1944,12 July 1945
Strasbourg,FRA,Dunkerque,BB,26500,February 1939,scuttled 27 November 1942
Stockton,USA,Gleaves,DD,1630,11 January 1943,"decommissioned 1946, scrapped 1973"
Stord,Royal Norwegian Navy,S,DD,2400,29 September 1943,scrapped 1959
Stormont,Royal Canadian Navy,River,FF,1445,27 November 1943,paid off 9 November 1945
Striker,ENG,Attacker,CVE,10000,29 April 1943,"paid off 12 February 1946, scrapped 1948"
Strule,Royal Navy  Free French Naval Forces,River,FF,1370,,to Free French 25 September 1944 as Croix de Lorraine; decommissioned 1961
Sudbury,Royal Canadian Navy,Flower,K,925,15 October 1941,paid off 28 August 1945
Suffren,French Navy  Free French Naval Forces,Suffren,CA,9940,1 January 1930,scrapped 1974
The Sullivans,USA,Fletcher,DD,2050,4 April 1943,museum ship
Sumatra,Royal Netherlands Navy,Java,CL,6670,26 May 1926,"scuttled off the coast of Normandy on 9 June 1944 at Ouistreham as part of a ""gooseberry"" pier to protect an artificial Allied Mulberry harbour built as part of Operation Overlord."
Summerside,Royal Canadian Navy,Flower,K,925,11 September 1941,paid off 6 July 1945
Sundew,ENG,Flower,K,925,19 September 1941,to Free French as Roselys; scrapped 1948
Sunfish,ENG,S,SS,670,2 July 1937,sunk 27 July 1944
Sunflower,ENG,Flower,K,925,25 January 1941,Scrapped September 1947
Sussexvale,Royal Canadian Navy,River,FF,1445,29 November 1944,paid off 30 November 1966
Sutlej,Royal Indian Navy,Black Swan,SL,1250,23 April 1941,to Indian Navy as INS Sutlej 1947; converted to survey ship 1955; decommissioned 1978; scrapped 1979
Suwannee,USA,Sangamon,CVE,24275,24 September 1942,decommissioned 8 January 1947; scrapped 1960
Suzuya,JPN,Mogami,CA,15900,October 1937,sunk 25 October 1944 during the Battle off Samar
Svenner,Royal Norwegian Navy,S,DD,1710,11 March 1944,sunk 6 June 1944
Sverige,Swedish Navy,Sverige,coastal defence ship,6852,14 May 1917,"paid off 30 January 1953, scrapped 1958"
Swale,Royal Navy  South African Navy,Loch,FF,1370,,to South Africa 29 July 1945; scrapped February 1955
Swansea,Royal Canadian Navy,River,FF,1445,4 October 1943,paid off 14 October 1966
Swanson,USA,Gleaves,DD,1630,29 May 1941,"decommissioned 1945, scrapped 1972"
Sweetbriar,ENG,Flower,K,925,8 September 1941,Sold July 1946; whale catcher Star IX June 1949; scrapped April 1966
Swift,ENG,S,DD,1710,12 December 1943,sunk by mine 24 June 1944
Sydney,Royal Australian Navy,modified Leander,CL,6980,24 September 1935,lost 19 November 1941
