Class,Type,Displacement,Country,First commissioned,YEAR
Leningrad,DD,,,December 1936,1936
Aetos,DD,,,19 October 1912,1912
Raubtier,torpedo boat,,,1 June 1928,1928
Chacal,DD,,,31 August 1940,1940
Lexington,CV,,,14 December 1927,1927
Essex,CV,,,17 February 1943,1943
Libertad,riverine battleship,,,26 November 1892,1892
Flower modified,K,,,19 June 1943,1943
Casablanca,CVE,,,7 August 1943,1943
Littorio,BB,,,6 May 1940,1940
Flower,K,,,16 July 1941,1941
Loch,FF,,,31 July 1944,1944
County,CA,,,31 January 1929,1929
Long Island,CVE,,,2 June 1941,1941
Looe,Special Service Ship,,,,
PB,,,,25 April 1943,1943
Bretagne,BB,,,27 July 1916,1916
Baltimore,CA,,,22 July 1945,1945
Lothringen,CM,,,December 1941,1941
Northampton,CA,,,15 January 1931,1931
Condottieri,CL,,,11 August 1933,1933
Condottieri,CL,,,1 December 1937,1937
enlarged Admiral Hipper,CA,,,not completed,
Farragut,DD,,,15 March 1935,1935
Rapana,merchant aircraft carrier,,,1 April 1944,1944
