Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Bennington,USA,Essex,CV,30800.0,6 August 1944,"decommissioned 15 January 1970, scrapped 1994"
Bennion,USA,Fletcher,DD,2050.0,14 December 1943,"decommissioned 1946, scrapped 1973"
Benson,USA,Benson,DD,1620.0,25 July 1940,"transferred to Taiwan 1954, scrapped 1974"
Berar,Royal Indian Navy,Basset,AM,529.0,October 1942,decommissioned 1946[7]
Bergamot,ENG,Flower,K,925.0,12 May 1941,
Berkeley,ENG,Hunt,DE,1000.0,6 June 1940,scuttled 19 August 1942
Bermuda,ENG,Fiji-class cruiser,,8000.0,21 August 1942,scrapped 1965
Bernadou,USA,Wickes,DD,1190.0,19 May 1919,scrapped 1945
Bertioga,United States  Brazilian Navy,Cannon,DE,1240.0,15 September 1943,"to Brazil 1 August 1944, paid off 1964"
Betony,Royal Navy  Royal Indian Navy,Flower modified,K,1015.0,31 August 1943,to RIN as Sind 24 March 1945
Beverley,ENG,Town,DD,1200.0,8 October 1940,sunk 11 April 1943
Biddle,USA,Wickes,DD,1190.0,22 April 1919,scrapped 1946
Bicester,ENG,Hunt,DE,1050.0,9 May 1942,"paid off 1955, scrapped 1956"
Bideford,ENG,Shoreham,SL,1105.0,23 February 1932,Sold 14 September 1947
Big Horn,USA,,Q-ship,,15 April 1942,6 May 1946
Biloxi,USA,Cleveland-class light cruiser,,11800.0,31 August 1943,Scrapped 1962
HMS Birmingham,ENG,Southampton-class light cruiser,,9770.0,18 November 1937,scrapped 1960
USS Birmingham,USA,Cleveland-class light cruiser,,11800.0,29 January 1943,Scrapped 1959
Bismarck,GER,Bismarck,BB,41700.0,24 August 1940,sunk 27 May 1941
Bismarck Sea,USA,Casablanca,CVE,7800.0,20 May 1944,sunk 21 February 1945
Biter,ENG,Attacker,CVE,8200.0,5 May 1942,Transferred to France as Dixmude 1945
Bittersweet,Royal Navy  Royal Canadian Navy,Flower,K,925.0,23 January 1941,"to Canada 15 May 1941, paid off 22 June 1945"
Bivin,USA,Butler,DE,1350.0,31 October 1944,"decommissioned 1947, sunk as target 1969"
Black,USA,Fletcher,DD,2050.0,21 May 1943,scrapped 1971
Black Prince,ENG,Dido-class light cruiser,,5950.0,30 November 1943,Decommissioned March 1962
Blackmore,ENG,Hunt,DE,1050.0,14 April 1942,
Blair,USA,Edsall,DE,1250.0,13 September 1943,"decommissioned 1960, scrapped 1972"
Blakeley,USA,Wickes,DD,1190.0,8 May 1919,scrapped 1945
Blanche,ENG,B,DD,1350.0,14 February 1931,sunk 13 November 1939
Blanco Encalada,CHL,C,,3435.0,1893,scrapped 1946
Blankney,ENG,Hunt,DE,1050.0,11 April 1941,scrapped 1958
Blean,ENG,Hunt,DE,1050.0,23 August 1942,sunk 11 December 1942 by U-443
Bleasdale,ENG,Hunt,DE,1050.0,16 April 1942,"paid off 1956, scrapped14 September 1956"
Blencathra,ENG,Hunt,DE,1050.0,14 December 1940,"paid off July 1948, scrapped 1957"
Blessman,USA,Buckley,DE,1400.0,19 September 1943,"to Taiwan 1967, scrapped 1995"
Block Island,USA,Bogue,CVE,9800.0,8 March 1943,Sunk 29 May 1944
Block Island,USA,Commencement Bay,CVE,14400.0,30 December 1944,"decommissioned 1954, scrapped 1960"
Blücher,GER,Admiral Hipper-class heavy cruiser,,14000.0,20 September 1939,sunk 9 April 1940
Blue (I),USA,Bagley,DD,1500.0,14 August 1937,sunk 22 August 1942
Blue (II),USA,Sumner,DD,2200.0,20 March 1944,sunk as target 1974
Bluebell,ENG,Flower,K,925.0,19 July 1940[6],sunk on 17 February 1945 by U-711[8]
Błyskawica,Poland,Grom,DD,1975.0,25 November 1937,"decommissioned 1 May 1976, preserved as museum ship"
Boadicea,ENG,B,DD,1350.0,7 April 1931,sunk 13 June 1944
Bocaina,United States  Brazilian Navy,Cannon,DE,1240.0,3 September 1943,"to Brazil 20 March 1945, paid off 1975"
Boggs,USA,Wickes,DAM,1190.0,23 September 1918,scrapped 1946
Bogue,USA,Bogue,CVE,9800.0,26 September 1942,"Decommissioned 30 November 1946, scrapped 1960"
Boise,USA,Brooklyn-class light cruiser,,9950.0,12 August 1938,"Decommissioned 11 January 1951, sold to Argentina. Scrapped 1978"
Bolzano,Regia Marina,Trento class heavy cruiser,,10511.0,1933,sunk 1944
Bombay,Royal Indian Navy,Bathurst,K,1025.0,24 April 1942,Decommissioned 1960
Bon Homme Richard,USA,Essex,CV,30800.0,26 November 1944,"decommissioned 2 July 1971, scrapped 1992"
