Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Alvin C. Cockrell,USA,John C. Butler,DE,1350.0,7 October 1944,Sunk as target 1969
Alysse,FRA,Flower,K,925.0,17 June 1941,9 February 1942
Amagi,JPN,Unryū,CV,17150.0,10 August 1944,Sunk 27 July 1945
Amaranthus,ENG,Flower,K,925.0,12 February 1941,
Amastra,ENG,Rapana,merchant aircraft carrier,16000.0,1 September 1943,
Amazon,ENG,prototype,DD,1350.0,5 May 1927,Scrapped 25 October 1948
Ambuscade,ENG,prototype,DD,1173.0,15 March 1927,Scrapped 1946
Ameer,ENG,Ruler,CVE,11400.0,20 July 1943,"paid off 20 March 1946, scrapped 1969"
Amesbury,USA,Buckley,DE,1400.0,31 August 1943,"sold for scrap, sank under tow 1962"
Amethyst,ENG,Black Swan,SL,1350.0,2 November 1943,Scrapped 19 January 1957
Amherst,Royal Canadian Navy,Flower,K,925.0,5 August 1941,paid off 16 July 1945
Amick,USA,Cannon,DE,1240.0,26 July 1943,"To Japan 1955, to Philippines 1976, scrapped 1989"
Amiral Murgescu,Romanian Naval Forces  Soviet Navy,Amiral Murgescu,CM,812.0,14 June 1939,"To Romania 1939, to Soviet Union 1944, scrapped 1989"
Ammen,USA,Fletcher,DD,2050.0,12 March 1943,Scrapped 1960
Amritsar,Royal Indian Navy,Basset,AM,529.0,1941–1944,1941–1944
Amsterdam,USA,Cleveland,CL,11800.0,8 January 1945,Scrapped 1971
Anacapa,USA,,Q-ship,7500.0,31 August 1942,21 March 1946
Anchusa,ENG,Flower,K,925.0,1 March 1941,
Ancylus,ENG,Rapana,merchant aircraft carrier,16000.0,October 1943,
Andenes,Royal Norwegian Navy,Flower,K,925.0,1 October 1941,
Anderson,USA,Sims,DD,1570.0,19 May 1939,Sunk in nuclear bomb test 1946
Andrea Doria,Regia Marina,Andrea Doria,BB,25920.0,13 March 1916,Scrapped 1956
Andres,USA,Evarts,DE,1140.0,15 March 1943,Scrapped 1946
Anemone,ENG,Flower,K,925.0,12 August 1940,[13]
Annan,Royal Canadian Navy,River,FF,1445.0,13 January 1944,paid off 20 June 1945
Annapolis,Royal Canadian Navy,Town,DD,1190.0,24 September 1940,paid off 4 June 1945
Anson,ENG,King George V,BB,35000.0,22 June 1942,Scrapped 1957
Antelope,ENG,A,DD,1350.0,20 March 1930,Scrapped 1946
Anthony (H40),ENG,A,DD,1350.0,14 February 1930,Scrapped 1948
Anthony (DD-515),USA,Fletcher,DD,2050.0,26 February 1943,"To West Germany 1958, sunk as target 1979"
Antietam,USA,Essex,CV,30800.0,28 January 1945,"Decommissioned 8 May 1963, scrapped 1974"
Antigonish,Royal Canadian Navy,River,FF,1445.0,4 July 1944,paid off 30 November 1966
Antiquois,Colombian National Navy,Guadiana,DD,1219.0,,former Douro (Portugal)
Antoine,ENG,,Special Service Ship,1030.0,,paid off March 1941
Aoba,JPN,Aoba,CA,5088.0,20 September 1927,Sunk 28 July 1945
Apollo,ENG,Abdiel,CM,2650.0,9 October 1943,Scrapped 1962
Aquila,Regia Marina,,CV,23500.0,not completed,Scrapped 1952
Arabis (I),Royal Navy  United States Navy,Flower,K,925.0,5 April 1940,"to US 30 April 1942, to UK 26 August 1945"
Arabis (II),Royal New Zealand Navy,Flower modified,K,1015.0,16 March 1944,paid off 1948
Äran,Swedish Navy,Äran,coastal defence ship,3650.0,7 September 1902,"paid off 16 June 1947, scrapped 1961"
Arbiter,ENG,Ruler,CVE,7800.0,31 December 1943,"paid off 12 April 1946, scrapped 1972"
